G,Date,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,1/31/2023,NYK,W (+6),Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
,2/2/2023,IND,W (+1),Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
,2/4/2023,NOP,L (-5),Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
37,2/7/2023,OKC,L (-3),0,6:50,0,2,0,0,1,0,0,0,,0,1,1,1,0,0,0,2,0,-1.2,-7
38,2/9/2023,MIL,L (-9),0,24:40:00,7,11,0.636,3,4,0.75,1,2,0.5,1,3,4,2,1,0,2,3,18,13.5,-1
39,2/11/2023,GSW,W (+6),0,26:16:00,2,5,0.4,1,2,0.5,3,4,0.75,0,2,2,1,0,1,2,1,8,4.5,3
40,2/13/2023,POR,L (-12),0,25:18:00,3,5,0.6,1,3,0.333,3,4,0.75,0,2,2,2,0,0,1,0,10,8.3,-25
41,2/15/2023,NOP,W (+18),0,22:06,1,2,0.5,1,2,0.5,2,3,0.667,1,1,2,3,0,0,0,2,5,5.9,-1
42,2/23/2023,GSW,W (+13),0,18:49,6,6,1,1,1,1,4,4,1,0,2,2,4,2,0,0,1,17,20.2,10
43,2/26/2023,DAL,W (+3),0,27:17:00,3,6,0.5,1,3,0.333,2,3,0.667,0,3,3,3,0,0,2,2,9,5.8,-10
44,2/28/2023,MEM,L (-12),0,27:00:00,5,8,0.625,4,7,0.571,3,3,1,0,2,2,7,1,1,4,2,17,15.8,-17
